Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Park K.-J., Cho Y.-K.","57205642011;7404469777;","Transmission Resonance Phenomena for a Narrow Rectangular Slot in Thick Conducting Screen",2018,"Progress in Electromagnetics Research Symposium","2018-August",, 8597710,"1023","1027",,,"10.23919/PIERS.2018.8597710","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060914996&doi=10.23919%2fPIERS.2018.8597710&partnerID=40&md5=42537cc6ea3a6a499e7ad782d42dbde5",15599450,9784885523151,,Conference Paper,"Final",,Scopus,2-s2.0-85060914996
"Jung Y.H., Kang I.M., Cho S.","57204356582;7203062678;13607031400;","Analysis of SiGe Heterojunction Tunneling Field-Effect Transistor in the Microwave Regime Through Its Small-Signal Equivalent Circuit",2018,"Progress in Electromagnetics Research Symposium","2018-August",, 8598056,"2550","2553",,,"10.23919/PIERS.2018.8598056","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060951981&doi=10.23919%2fPIERS.2018.8598056&partnerID=40&md5=44cdbff5feff14ac403f131faf4049a1",15599450,9784885523151,,Conference Paper,"Final",,Scopus,2-s2.0-85060951981
"Jo W.-K., Kumar S., Eslava S., Tonda S.","7103322277;55371242400;22834486800;56114866900;","Construction of Bi2WO6/RGO/g-C3N4 2D/2D/2D hybrid Z-scheme heterojunctions with large interfacial contact area for efficient charge separation and high-performance photoreduction of CO2 and H2O into solar fuels",2018,"Applied Catalysis B: Environmental","239",,,"586","598",,22,"10.1016/j.apcatb.2018.08.056","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85052213637&doi=10.1016%2fj.apcatb.2018.08.056&partnerID=40&md5=5f070397a36527713a7ee6a537a8b3e6",09263373,,ACBEE,Article,"Final",,Scopus,2-s2.0-85052213637
"Oryema B., Lee B., Park J.","57195352587;57205752321;55716931500;","Secure Mobility Management Using CoAP in the Internet of Things",2018,"Colloquium in Information Science and Technology, CIST","2018-October",, 8596598,"514","524",,,"10.1109/CIST.2018.8596598","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061425370&doi=10.1109%2fCIST.2018.8596598&partnerID=40&md5=f9897a22e8786fe2d72f10a0819726d4",2327185X,9781538643853,,Conference Paper,"Final",,Scopus,2-s2.0-85061425370
"Ali S., Park S.-K., Kim W.-C.","56794881600;8055974900;55492085000;","The pragmatic introduction and expression of microbial transgenes in plants",2018,"Journal of Microbiology and Biotechnology","28","12",,"1955","1970",,,"10.4014/jmb.1808.08029","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059309761&doi=10.4014%2fjmb.1808.08029&partnerID=40&md5=6b4f7f04195a9bde5167b3f3ec6edd13",10177825,,JOMBE,Review,"Final",,Scopus,2-s2.0-85059309761
"Kim G., Kim J., Peng L.","57195935091;7601385248;7201574271;","Evaluation on Energy Efficiency of Flexible MF-OTP-based EONs in Serving Asymmetric Traffic",2018,"Asia Communications and Photonics Conference, ACP","2018-October",, 8595987,"","",,,"10.1109/ACP.2018.8595987","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061440119&doi=10.1109%2fACP.2018.8595987&partnerID=40&md5=e34de923b96c4d432b576af3829f646e",2162108X,9781538661581,,Conference Paper,"Final",,Scopus,2-s2.0-85061440119
"Lee N., Ko E., Choi H.Y., Hong Y.J., Nauman M., Kang W., Choi H.J., Choi Y.J., Jo Y.","23970702800;57204468413;56105045200;57169261100;57195713298;7202402145;34876619900;26535632200;13502586500;","Antiferromagnet-Based Spintronic Functionality by Controlling Isospin Domains in a Layered Perovskite Iridate",2018,"Advanced Materials","30","52", 1805564,"","",,1,"10.1002/adma.201805564","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055674649&doi=10.1002%2fadma.201805564&partnerID=40&md5=b07d4d7c7b329ab810edb13d56b3c31c",09359648,,ADVME,Article,"Final",,Scopus,2-s2.0-85055674649
"Sych T.S., Reveguk Z.V., Pomogaev V.A., Buglak A.A., Reveguk A.A., Ramazanov R.R., Romanov N.M., Chikhirzhina E.V., Polyanichko A.M., Kononov A.I.","57021584200;57021929700;6603016010;55552760800;57205163320;56159827000;56330270100;6603011607;6602405202;7006804718;","Fluorescent Silver Clusters on Protein Templates: Understanding Their Structure",2018,"Journal of Physical Chemistry C","122","51",,"29549","29558",,1,"10.1021/acs.jpcc.8b08306","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058900767&doi=10.1021%2facs.jpcc.8b08306&partnerID=40&md5=787e73f5dd7b59a1fa650980c421dcb2",19327447,,,Article,"Final",,Scopus,2-s2.0-85058900767
"Goetz J.T., Hicks K., Kunkel M.C., Price J.W., Weygand D.P., Adhikari S., Anefalos Pereira S., Battaglieri M., Bedlinskiy I., Biselli A.S., Boiarinov S., Bookwalter C., Briscoe W.J., Brooks W.K., Burkert V.D., Cao F., Carman D.S., Celentano A., Chandavar S., Chatagnon P., Chetry T., Ciullo G., Cole P.L., Contalbrigo M., Crede V., D'Angelo A., Dashyan N., De Vita R., Defurne M., Deur A., Diehl S., Djalali C., Dugger M., Dupre R., Egiyan H., Ehrhart M., El Alaoui A., El Fassi L., Elouadrhiri L., Eugenio P., Fedotov G., Filippi A., Gevorgyan N., Ghandilyan Y., Girod F.X., Glazier D.I., Golovatch E., Gothe R.W., Griffioen K.A., Guidal M., Guo L., Hafidi K., Hakobyan H., Harrison N., Hattawy M., Heddle D., Holtrop M., Ireland D.G., Ishkhanov B.S., Isupov E.L., Jo H.S., Joosten S., Kabir M.L., Keller D., Khachatryan G., Khachatryan M., Khandaker M., Kim A., Kim W., Klein F.J., Kubarovsky V., Lanza L., Livingston K., MacGregor I.J.D., McKinnon B., Meyer C.A., Mirazita M., Mokeev V., Movsisyan A., Munoz Camacho C., Nadel-Turonski P., Niccolai S., Niculescu G., Osipenko M., Ostrovidov A.I., Paolone M., Paremuzyan R., Park K., Pasyuk E., Pogorelko O., Prok Y., Protopopescu D., Raue B.A., Ripani M., Riser D., Rizzo A., Rosner G., Sabatié F., Saini M.S., Salgado C., Schott D., Schumacher R.A., Sharabian Y.G., Skorodumina I., Sober D.I., Sokhan D., Sparveris N., Strakovsky I.I., Strauch S., Taiuti M., Tan J.A., Ungaro M., Voskanyan H., Voutier E., Wang R., Wei X., Wood M.H., Zachariou N., Zhang J., Zhao Z.W., CLAS Collaboration","35227294100;22966851900;55090597900;55329126900;24447382900;56258456900;17433587000;7004520678;35277104100;35227021700;35277071300;23033122600;56550149800;35400106000;7004440244;57195399898;7005853901;54392656300;52563252700;57202987431;57189889203;6603765308;35227101500;7003468594;6602900241;57205356400;6507987909;12546140700;56272524200;6604025441;36902901000;35374416600;35227159100;35069234100;35227171500;57193421717;26535686800;14041647600;35227171600;9845148400;9840293200;8695796100;12753483500;56115286900;35227280900;8258896400;35227273800;7102183142;7004574641;7003432409;7403156652;34570410000;31967648700;52863649900;56115055200;7003821864;7005060869;7006927902;7006434288;35227460400;35227429400;23034837300;57200978499;7102814361;36797868000;57193668661;13405022500;36604596000;57210398475;35227480600;6701392158;56047689500;9278396500;7006040977;35227669300;35380813300;35227656900;7004546205;31367546300;12244632700;6603294089;35227746500;35227763200;6701825145;6603112367;22986163400;36085149700;57207108914;35227791700;8903140900;35227871000;35227881200;7004527121;7003515879;57194526421;56589489300;7102538331;35227896300;35277552900;35228024200;23480189600;7201653195;35227996900;55834228500;6701578794;16065283100;6507906118;22969481600;7004321986;8903145200;57200599233;35228099400;6504161736;6603350317;57206377550;13204321200;57201559118;36836386600;57203378090;52564815400;","Ξ∗ photoproduction from threshold to W=3.3 GeV",2018,"Physical Review C","98","6", 062201,"","",,,"10.1103/PhysRevC.98.062201","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059412958&doi=10.1103%2fPhysRevC.98.062201&partnerID=40&md5=a58922307e850bcf3b9c070c77732bfe",24699985,,,Article,"Final",,Scopus,2-s2.0-85059412958
"Lee S.C., Jeon H.B., Kang K.H., Kim B.B., Park H.","57208122808;57014196800;35253852700;57189002870;56984665700;","Study of silicon photodiode performance for X-ray detector in cargo system",2018,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","912",,,"350","353",,,"10.1016/j.nima.2017.12.043","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85039958111&doi=10.1016%2fj.nima.2017.12.043&partnerID=40&md5=6c21dabd2eb33e2a70bbf5854eea6157",01689002,,NIMAE,Article,"Final",,Scopus,2-s2.0-85039958111
