Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Park Y.-K., Lee B., Lee H.W., Watanabe A., Jae J., Tsang Y.F., Kim Y.-M.","16029749100;56124581700;57207325297;56381897000;57205844769;22954605700;57148866400;","Co-feeding effect of waste plastic films on the catalytic pyrolysis of Quercus variabilis over microporous HZSM-5 and HY catalysts",2019,"Chemical Engineering Journal","378",, 122151,"","",,,"10.1016/j.cej.2019.122151","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068481005&doi=10.1016%2fj.cej.2019.122151&partnerID=40&md5=070872237c3be1e242a50aabdaf4c1a3",13858947,,CMEJA,Article,"Final",,Scopus,2-s2.0-85068481005
"Kam S., Kim D.W., Yun S., Kim H.K.","55622518000;57198637878;26430465800;56893178300;","Power-law analysis of nonlinear active-pixel detector responses as a function of mammographic energy",2019,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","947",, 162674,"","",,,"10.1016/j.nima.2019.162674","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072160745&doi=10.1016%2fj.nima.2019.162674&partnerID=40&md5=ee9fbe2b560d9c1afbd23bfc2956f81a",01689002,,NIMAE,Article,"Final",,Scopus,2-s2.0-85072160745
"Kong H., Kwon H.S., Kim H., Jeen G.-S., Lee J., Lee J., Heo Y.S., Cho J., Jeen H.","57189994998;57210846038;56849742100;35613137800;57204662806;57193775280;57210846491;57210842509;37261448100;","Reductive-annealing-induced changes in Mo valence states on the surfaces of MoO3 single crystals and their high temperature transport",2019,"Current Applied Physics","19","12",,"1379","1382",,,"10.1016/j.cap.2019.09.001","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071663071&doi=10.1016%2fj.cap.2019.09.001&partnerID=40&md5=3e6c40f7e1e7b3f8994b7549763edc39",15671739,,,Article,"Final",,Scopus,2-s2.0-85071663071
"Seok J., Cho H.M., Kim H.H., Kim J.H., Huh U., Kim H.B., Leem J.H., Wang I.J.","55189468500;57207299944;57209615577;57201935324;55154818100;57193423903;57209614941;57194114125;","Chest Trauma Scoring Systems for Predicting Respiratory Complications in Isolated Rib Fracture",2019,"Journal of Surgical Research","244",,,"84","90",,,"10.1016/j.jss.2019.06.009","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068269435&doi=10.1016%2fj.jss.2019.06.009&partnerID=40&md5=3d6c176c4d8dbeb919f0ffecfe59448a",00224804,,JSGRA,Article,"Final",,Scopus,2-s2.0-85068269435
"Oh J.-H., Bae J.-H., Kim J.-H., Lee C.-S., Lee J.-M.","57210831827;57209566712;55388597300;23980513300;57208199380;","Effects of Kevlar pulp on the enhancement of cryogenic mechanical properties of polyurethane foam",2019,"Polymer Testing","80",, 106093,"","",,,"10.1016/j.polymertesting.2019.106093","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072076118&doi=10.1016%2fj.polymertesting.2019.106093&partnerID=40&md5=9076a1c3a64cf3b1e8f3cb49b1c06025",01429418,,POTED,Article,"Final",,Scopus,2-s2.0-85072076118
"Jeong M., Ha M.Y., Park Y.G.","56549468400;57207151512;36145467500;","Numerical investigation of heat transfer enhancement in a dimpled cooling channel with different angles of the vortex generator",2019,"International Journal of Heat and Mass Transfer","144",, 118644,"","",,,"10.1016/j.ijheatmasstransfer.2019.118644","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071638656&doi=10.1016%2fj.ijheatmasstransfer.2019.118644&partnerID=40&md5=0d750492cf69804545f57fcb2d94bd2d",00179310,,IJHMA,Article,"Final",,Scopus,2-s2.0-85071638656
"Bae B., Kim T., Kim K., Jeong J.J., Yun B.","57136394500;57203068048;16175387800;56264582500;7006416940;","Experimental investigation of droplet entrainment and deposition in horizontal stratified wavy flow",2019,"International Journal of Heat and Mass Transfer","144",, 118613,"","",,,"10.1016/j.ijheatmasstransfer.2019.118613","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071312158&doi=10.1016%2fj.ijheatmasstransfer.2019.118613&partnerID=40&md5=76177aa59e851ac4e6ba8bab1bca4fd2",00179310,,IJHMA,Article,"Final",,Scopus,2-s2.0-85071312158
"Yoo J.M., Cho Y.J., Yoon H.Y., Jeong J.J.","57195936259;55185389600;14046448500;56264582500;","Analysis of the effect of liquid droplet models on the reflood heat transfer using the CUPID code",2019,"Nuclear Engineering and Design","354",, 110148,"","",,,"10.1016/j.nucengdes.2019.110148","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85067170871&doi=10.1016%2fj.nucengdes.2019.110148&partnerID=40&md5=4793643e90787f8bb55df3bb34adf9df",00295493,,NEDEA,Article,"Final",,Scopus,2-s2.0-85067170871
"Lee G., Suonan Z., Kim S.H., Hwang D.-W., Lee K.-S.","57210388318;57201731350;36910817300;23024584100;8948078700;","Heavy metal accumulation and phytoremediation potential by transplants of the seagrass Zostera marina in the polluted bay systems",2019,"Marine Pollution Bulletin","149",, 110509,"","",,,"10.1016/j.marpolbul.2019.110509","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070541121&doi=10.1016%2fj.marpolbul.2019.110509&partnerID=40&md5=760a38b673437584d07f193a0b874b93",0025326X,,MPNBA,Article,"Final",,Scopus,2-s2.0-85070541121
"Kwon S.H., Kang H., Lee J.H., Shim S., Lee J., Lee D.S., Kim C.M., Lee S.G.","57188644749;57211014509;57206732395;57211011658;57211014278;57211014474;57211012358;35215858300;","Investigating the influence of the side-chain pendants of perfluorosulfonic acid membranes in a PEMFC by molecular dynamics simulations",2019,"Materials Today Communications","21",, 100625,"","",,,"10.1016/j.mtcomm.2019.100625","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072256337&doi=10.1016%2fj.mtcomm.2019.100625&partnerID=40&md5=acbcc0fe88a1450b584f8c90d4252ae5",23524928,,,Article,"Final",,Scopus,2-s2.0-85072256337
